Name,Type,Duration
Sobeys to confirm drafts and templates,task,5
"Sobeys to confirm translated drafts, templates and additional materials",task,5
Sobeys to confirm launch/training Logistics,task,5
HS to share Training materials and alignment on collaboration tasks for FAQ Guide/Training materials together with Paradox Training Lead,deliverable,5
ONGOING INTEGRATION SET UP,milestone,
Define communication plan for any SFSF upgrades and modifications for post-go-live support communication plan.,task,7
"Revisit Kick Off questionnaire, and update according to new settings",task,7
Confirm integration parameters are correct for Sobeys Paradox Interview Scheduling HM Hub Integration and iterate as required,task,7
Sobeys to set up SSO configuration,task,7
HiredScore to set up SSO configuration,task,7
Validate SSO configuration,task,7
Sobeys to set up test Req (Staging),task,7
Sobeys to configure HS related fields in SFSF (Staging),task,7
HiredScore to validate configuration (Staging),task,7
Sobeys to set up Test Req (Production),task,7
Sobeys to configure HS related fields in SFSF (Production),task,7
HiredScore to validate configuration (Production)*,task,7
Confirmation of Status Workflows and modification of Statuses (CSW),task,7
Client HRIS to finalize SFSF workflow and notify HiredScore of final version,task,7
"Confirm Pending action buckets, last supported status",task,7
Confirm configurations and customizations,task,7
HS to update configurations and adaptations based on changes as needed,task,
PRE GO LIVE VALIDATIONS & USER COMMS,milestone,
Confirmation of Final User List (Recruiters),deliverable,7
Nominate UAT Testers (Staging & Prod),task,7
Schedule UAT session (Staging & Prod),task,7
Conduct HS led UAT session verifying that all HiredScore functionality in the Staging Environment and configuration is setup. Session length: 1-1.5 hour,meeting,7
HS to share UAT results report with Sobeys,deliverable,7
Confirmation of Final HM User List,task,7
Nominate UAT Testers (HM Hub),task,7
Schedule UAT session (HM Hub),task,7
Conduct HS led UAT session verifying that all HiredScore functionality in the Production Environment and configuration is setup. Session length: 1.5 hour,meeting,7
HS to share UAT results report with Sobeys,deliverable,7
Validation of Paradox IV scheduling integration with HiredScore for HM Hub and TA Dashboard,task,7
Conduct HS led UAT session verifying that all HiredScore functionality in the Production Environment and configuration is setup. Session length: 1-1.5 hour,meeting,15
HS to share UAT results report with Sobeys,deliverable,7
Schedule Demo session & invite TAs,task,7
Assemble recruiters and relevant team members for virtual HiredScore demo,meeting,7
Review logistics for the Launch,task,7
Notify TAs about visibility of grades in SFSF(via email template),task,7
HS to start sending grades into SFSF,task,7
GO-LIVE AND POST-LAUNCH PARTNERSHIP,milestone,
"1.5 - 2-hours Training session and go-live for D&I Modules (if relevant) within Spotlight, Fetch & HM Hub Solutions
 for TAs/Recruiters; HS to send go-live communication to licensed recruiters on launch day",meeting,2
Job Writing Initial Phase 1 Release & Training Review in English,deliverable,
Job Writing Feedback in English and French Canadian,task,
Biweekly post-launch calls with Project Team and Customer Success,meeting,
